Date,Description,Category,Amount,Balance,Type
2024-03-03,Zomato Order,Food,-1173,37306,Debit
2024-05-11,Water Bill,Utilities,-3929,33377,Debit
2024-10-19,Petrol,Transport,-3720,29657,Debit
2024-06-05,Internet Recharge,Utilities,-6709,22948,Debit
2024-11-02,Spotify,Entertainment,-3675,19273,Debit
2024-12-29,Interest Credit,Savings Interest,2183,21456,Credit
2025-01-04,Restaurant Bill,Food,-4061,17395,Debit
2024-02-25,Restaurant Bill,Food,-9035,8360,Debit
2025-02-23,Doctor Visit,Health,-3807,4553,Debit
2024-12-31,Refund,Income,24332,28885,Credit
2025-04-09,Bank Transfer,Transfer,-6567,22318,Debit
2024-03-25,Interest Credit,Savings Interest,13409,35727,Credit
2024-04-09,Interest Credit,Savings Interest,29830,65557,Credit
2024-12-16,Restaurant Bill,Food,-4723,60834,Debit
2024-01-11,Electricity Bill,Utilities,-4994,55840,Debit
2025-02-17,Uber Ride,Transport,-4280,51560,Debit
2024-08-02,ATM Withdrawal,Cash,-5241,46319,Debit
2025-05-13,Electronics,Shopping,-8944,37375,Debit
2024-02-12,Water Bill,Utilities,-3810,33565,Debit
2024-02-24,Petrol,Transport,-7261,26304,Debit
2024-04-14,Doctor Visit,Health,-271,26033,Debit
2024-12-06,Refund,Income,3754,29787,Credit
2025-02-09,UPI to Friend,Transfer,-2598,27189,Debit
2024-04-03,Cash Deposit,Cash,-5620,21569,Debit
2024-12-05,YouTube Premium,Entertainment,-1591,19978,Debit
2025-01-18,Petrol,Transport,-4077,15901,Debit
2024-06-07,Spotify,Entertainment,-111,15790,Debit
2024-01-29,Medical Store,Health,-9880,5910,Debit
2025-05-04,Cafe Coffee Day,Food,-701,5209,Debit
2024-10-27,Electronics,Shopping,-2909,2300,Debit
2024-11-03,Interest Credit,Savings Interest,4607,6907,Credit
2024-01-17,Cash Deposit,Cash,-2519,4388,Debit
2024-10-10,Flipkart Order,Shopping,-3782,606,Debit
2024-08-10,Flipkart Order,Shopping,-9955,-9349,Debit
2024-09-04,Train Ticket,Transport,-7034,-16383,Debit
2025-04-18,Train Ticket,Transport,-5406,-21789,Debit
2024-07-16,ATM Withdrawal,Cash,-4965,-26754,Debit
2024-12-17,Cafe Coffee Day,Food,-2124,-28878,Debit
2024-01-11,Spotify,Entertainment,-8836,-37714,Debit
2025-03-27,Water Bill,Utilities,-9452,-47166,Debit
2024-02-27,Medical Store,Health,-7930,-55096,Debit
2025-03-06,Flipkart Order,Shopping,-885,-55981,Debit
2024-07-30,Flipkart Order,Shopping,-9955,-65936,Debit
2025-02-28,Water Bill,Utilities,-4881,-70817,Debit
2024-01-18,Bonus,Income,18181,-52636,Credit
2024-11-01,ATM Withdrawal,Cash,-8838,-61474,Debit
2024-11-14,FD Interest,Savings Interest,11040,-50434,Credit
2024-11-30,Cafe Coffee Day,Food,-2356,-52790,Debit
2024-10-22,Spotify,Entertainment,-6532,-59322,Debit
2024-05-10,Received from Rahul,Transfer,-291,-59613,Debit
2024-09-13,Medical Store,Health,-1445,-61058,Debit
2024-09-29,YouTube Premium,Entertainment,-7070,-68128,Debit
2024-12-08,Flipkart Order,Shopping,-2196,-70324,Debit
2024-06-20,Movie Tickets,Entertainment,-482,-70806,Debit
2024-08-09,Restaurant Bill,Food,-557,-71363,Debit
2024-07-20,Spotify,Entertainment,-9061,-80424,Debit
2024-06-16,Swiggy,Food,-8194,-88618,Debit
2024-12-25,Received from Rahul,Transfer,-2092,-90710,Debit
2024-12-03,UPI to Friend,Transfer,-7928,-98638,Debit
2024-08-20,Movie Tickets,Entertainment,-8826,-107464,Debit
2024-02-15,Train Ticket,Transport,-9482,-116946,Debit
2024-04-10,Bonus,Income,4526,-112420,Credit
2025-03-23,Water Bill,Utilities,-2889,-115309,Debit
2024-04-22,Internet Recharge,Utilities,-8224,-123533,Debit
2024-08-20,Uber Ride,Transport,-3764,-127297,Debit
2024-03-30,Petrol,Transport,-8123,-135420,Debit
2024-09-29,Doctor Visit,Health,-883,-136303,Debit
2024-12-11,Freelance Payment,Income,6530,-129773,Credit
2024-08-03,Cafe Coffee Day,Food,-9398,-139171,Debit
2024-10-13,Refund,Income,3709,-135462,Credit
2025-01-27,Interest Credit,Savings Interest,22078,-113384,Credit
2024-01-25,ATM Withdrawal,Cash,-8215,-121599,Debit
2024-02-06,Doctor Visit,Health,-5866,-127465,Debit
2024-09-04,Myntra Shopping,Shopping,-2311,-129776,Debit
2025-04-08,Uber Ride,Transport,-5673,-135449,Debit
2024-03-23,Cafe Coffee Day,Food,-5340,-140789,Debit
2024-09-19,Water Bill,Utilities,-6100,-146889,Debit
2024-01-15,Medical Store,Health,-7741,-154630,Debit
2024-10-23,Myntra Shopping,Shopping,-1671,-156301,Debit
2024-04-16,Received from Rahul,Transfer,-8702,-165003,Debit
2024-10-01,Medical Store,Health,-2352,-167355,Debit
2025-02-07,Spotify,Entertainment,-2159,-169514,Debit
2025-03-14,Received from Rahul,Transfer,-1095,-170609,Debit
2025-02-20,Flipkart Order,Shopping,-7707,-178316,Debit
2024-05-21,Medical Store,Health,-4433,-182749,Debit
2024-01-13,Interest Credit,Savings Interest,4154,-178595,Credit
2024-08-28,Interest Credit,Savings Interest,5830,-172765,Credit
2024-09-19,Bonus,Income,8190,-164575,Credit
2024-07-19,FD Interest,Savings Interest,22458,-142117,Credit
2024-06-07,Internet Recharge,Utilities,-1269,-143386,Debit
2024-06-11,ATM Withdrawal,Cash,-5021,-148407,Debit
2025-03-20,Spotify,Entertainment,-9236,-157643,Debit
2025-04-18,Zomato Order,Food,-2537,-160180,Debit
2024-05-06,Spotify,Entertainment,-4185,-164365,Debit
2025-04-28,Movie Tickets,Entertainment,-8940,-173305,Debit
2024-07-13,Restaurant Bill,Food,-8403,-181708,Debit
2025-05-06,Movie Tickets,Entertainment,-1546,-183254,Debit
2024-08-04,YouTube Premium,Entertainment,-2692,-185946,Debit
2024-10-25,ATM Withdrawal,Cash,-659,-186605,Debit
2024-12-16,Movie Tickets,Entertainment,-2622,-189227,Debit
2025-01-22,FD Interest,Savings Interest,10632,-178595,Credit
2024-11-17,Movie Tickets,Entertainment,-9232,-187827,Debit
2024-05-16,Flipkart Order,Shopping,-6810,-194637,Debit
2025-05-04,Bonus,Income,2368,-192269,Credit
2024-01-18,ATM Withdrawal,Cash,-9676,-201945,Debit
2025-03-19,Bank Transfer,Transfer,-2471,-204416,Debit
2024-03-13,Petrol,Transport,-4848,-209264,Debit
2025-05-04,Bonus,Income,27461,-181803,Credit
2024-08-25,Cash Deposit,Cash,-3677,-185480,Debit
2025-04-30,Freelance Payment,Income,25002,-160478,Credit
2024-01-26,Interest Credit,Savings Interest,9790,-150688,Credit
2024-01-28,Received from Rahul,Transfer,-7203,-157891,Debit
2024-02-18,YouTube Premium,Entertainment,-7181,-165072,Debit
2024-08-17,Doctor Visit,Health,-9235,-174307,Debit
2024-12-11,Internet Recharge,Utilities,-5223,-179530,Debit
2025-03-14,Interest Credit,Savings Interest,26449,-153081,Credit
2024-09-05,Swiggy,Food,-2425,-155506,Debit
2024-08-19,YouTube Premium,Entertainment,-3192,-158698,Debit
2025-02-06,Petrol,Transport,-2292,-160990,Debit
2024-08-17,ATM Withdrawal,Cash,-2153,-163143,Debit
2024-04-25,Interest Credit,Savings Interest,5878,-157265,Credit
2024-03-27,Water Bill,Utilities,-7965,-165230,Debit
2025-03-18,Bank Transfer,Transfer,-7893,-173123,Debit
2024-05-29,Bonus,Income,10762,-162361,Credit
2024-11-19,Spotify,Entertainment,-2225,-164586,Debit
2024-07-17,Movie Tickets,Entertainment,-4119,-168705,Debit
2024-09-10,Movie Tickets,Entertainment,-9042,-177747,Debit
2024-09-20,Zomato Order,Food,-2043,-179790,Debit
2024-09-26,Cafe Coffee Day,Food,-3405,-183195,Debit
2024-02-06,Petrol,Transport,-6628,-189823,Debit
2024-08-31,FD Interest,Savings Interest,6921,-182902,Credit
2024-07-14,Swiggy,Food,-7012,-189914,Debit
2024-04-24,Petrol,Transport,-1780,-191694,Debit
2024-05-04,Doctor Visit,Health,-3152,-194846,Debit
2024-08-11,Received from Rahul,Transfer,-9255,-204101,Debit
2024-10-05,ATM Withdrawal,Cash,-6888,-210989,Debit
2025-01-04,Cafe Coffee Day,Food,-2931,-213920,Debit
2025-01-05,Electricity Bill,Utilities,-6146,-220066,Debit
2024-06-17,Petrol,Transport,-2276,-222342,Debit
2025-02-04,ATM Withdrawal,Cash,-5636,-227978,Debit
2025-02-01,Restaurant Bill,Food,-975,-228953,Debit
2024-02-07,Petrol,Transport,-7912,-236865,Debit
2024-04-18,Cafe Coffee Day,Food,-9998,-246863,Debit
2024-05-15,UPI to Friend,Transfer,-8251,-255114,Debit
2024-11-16,Electronics,Shopping,-5466,-260580,Debit
2024-02-08,Electricity Bill,Utilities,-9618,-270198,Debit
2024-08-11,Uber Ride,Transport,-6449,-276647,Debit
2024-11-11,Received from Rahul,Transfer,-2308,-278955,Debit
2024-01-10,Interest Credit,Savings Interest,8315,-270640,Credit
2024-05-18,Electricity Bill,Utilities,-9763,-280403,Debit
2025-04-04,Swiggy,Food,-8177,-288580,Debit
2024-06-07,Doctor Visit,Health,-6098,-294678,Debit
2024-10-27,Bonus,Income,5708,-288970,Credit
2025-04-04,Cafe Coffee Day,Food,-6465,-295435,Debit
2024-12-21,Doctor Visit,Health,-5815,-301250,Debit
2025-02-13,Electricity Bill,Utilities,-2145,-303395,Debit
2024-04-01,Flipkart Order,Shopping,-3311,-306706,Debit
2024-06-14,Uber Ride,Transport,-2263,-308969,Debit
2025-01-05,Uber Ride,Transport,-8182,-317151,Debit
2024-12-19,Received from Rahul,Transfer,-935,-318086,Debit
2024-08-09,Doctor Visit,Health,-2204,-320290,Debit
2024-06-28,ATM Withdrawal,Cash,-380,-320670,Debit
2024-03-28,Refund,Income,19397,-301273,Credit
2024-06-19,Refund,Income,18271,-283002,Credit
2024-02-22,Internet Recharge,Utilities,-1410,-284412,Debit
2024-11-28,Amazon Purchase,Shopping,-265,-284677,Debit
2024-12-19,Cafe Coffee Day,Food,-2842,-287519,Debit
2024-01-20,Restaurant Bill,Food,-5601,-293120,Debit
2024-09-13,Cafe Coffee Day,Food,-4251,-297371,Debit
2024-02-14,Spotify,Entertainment,-9205,-306576,Debit
2024-09-18,Cash Deposit,Cash,-2936,-309512,Debit
2025-05-13,Petrol,Transport,-2802,-312314,Debit
2025-01-31,Doctor Visit,Health,-5178,-317492,Debit
2025-02-20,FD Interest,Savings Interest,20400,-297092,Credit
2024-10-19,Doctor Visit,Health,-4612,-301704,Debit
2024-11-28,Refund,Income,21665,-280039,Credit
2025-03-06,Medical Store,Health,-7045,-287084,Debit
2024-10-03,Interest Credit,Savings Interest,28333,-258751,Credit
2024-03-19,Zomato Order,Food,-1488,-260239,Debit
2024-01-18,Internet Recharge,Utilities,-363,-260602,Debit
2024-04-06,Interest Credit,Savings Interest,26348,-234254,Credit
2024-11-05,Interest Credit,Savings Interest,29219,-205035,Credit
2024-05-05,Doctor Visit,Health,-7059,-212094,Debit
2024-03-28,FD Interest,Savings Interest,21336,-190758,Credit
2024-06-17,Flipkart Order,Shopping,-4752,-195510,Debit
2024-01-27,Cash Deposit,Cash,-4458,-199968,Debit
2025-03-28,Received from Rahul,Transfer,-1305,-201273,Debit
2024-07-10,Myntra Shopping,Shopping,-3356,-204629,Debit
2025-02-16,Movie Tickets,Entertainment,-4463,-209092,Debit
2025-01-09,Internet Recharge,Utilities,-3696,-212788,Debit
2025-01-16,Bank Transfer,Transfer,-7996,-220784,Debit
2025-04-05,Water Bill,Utilities,-6158,-226942,Debit
2024-08-30,Doctor Visit,Health,-6171,-233113,Debit
2024-04-18,Cash Deposit,Cash,-2291,-235404,Debit
2025-04-13,Spotify,Entertainment,-8634,-244038,Debit
2024-03-26,Doctor Visit,Health,-2077,-246115,Debit
2024-05-11,YouTube Premium,Entertainment,-8519,-254634,Debit
2024-04-07,YouTube Premium,Entertainment,-3086,-257720,Debit
2025-05-15,Zomato Order,Food,-810,-258530,Debit
2024-08-12,Refund,Income,15589,-242941,Credit
2024-10-05,Bank Transfer,Transfer,-8025,-250966,Debit
2024-12-28,Petrol,Transport,-7491,-258457,Debit
2024-11-10,Cash Deposit,Cash,-8687,-267144,Debit
2024-12-21,Bonus,Income,22649,-244495,Credit
2024-05-31,Spotify,Entertainment,-4492,-248987,Debit
2024-08-25,Doctor Visit,Health,-7251,-256238,Debit
2024-12-16,Flipkart Order,Shopping,-3882,-260120,Debit
2025-03-14,Electricity Bill,Utilities,-8681,-268801,Debit
2024-02-17,Train Ticket,Transport,-8613,-277414,Debit
2024-08-29,Received from Rahul,Transfer,-5984,-283398,Debit
2024-06-21,Spotify,Entertainment,-9432,-292830,Debit
2024-02-28,Zomato Order,Food,-5061,-297891,Debit
2024-06-25,Uber Ride,Transport,-6575,-304466,Debit
2024-07-11,Swiggy,Food,-6608,-311074,Debit
2024-02-24,Movie Tickets,Entertainment,-9982,-321056,Debit
2025-04-22,Doctor Visit,Health,-8708,-329764,Debit
2024-05-18,UPI to Friend,Transfer,-1800,-331564,Debit
2025-04-30,FD Interest,Savings Interest,23680,-307884,Credit
2024-10-14,Interest Credit,Savings Interest,12284,-295600,Credit
2025-02-15,Cash Deposit,Cash,-6369,-301969,Debit
2024-06-17,Refund,Income,23405,-278564,Credit
2024-10-20,Water Bill,Utilities,-547,-279111,Debit
2024-06-06,ATM Withdrawal,Cash,-2787,-281898,Debit
2024-01-01,Freelance Payment,Income,13802,-268096,Credit
2024-12-19,Interest Credit,Savings Interest,22760,-245336,Credit
2025-02-20,Interest Credit,Savings Interest,16158,-229178,Credit
2024-03-09,Refund,Income,23849,-205329,Credit
2024-08-06,Medical Store,Health,-3675,-209004,Debit
2024-03-20,Electricity Bill,Utilities,-7642,-216646,Debit
2024-05-30,Spotify,Entertainment,-6383,-223029,Debit
2024-08-06,Electronics,Shopping,-2737,-225766,Debit
2025-01-06,Salary Credit,Income,20566,-205200,Credit
2025-02-20,Freelance Payment,Income,10632,-194568,Credit
2024-04-22,FD Interest,Savings Interest,15626,-178942,Credit
2025-05-14,Zomato Order,Food,-4958,-183900,Debit
2024-11-29,Bank Transfer,Transfer,-6123,-190023,Debit
2025-05-01,YouTube Premium,Entertainment,-8332,-198355,Debit
2024-10-20,UPI to Friend,Transfer,-4750,-203105,Debit
2024-03-23,Interest Credit,Savings Interest,26320,-176785,Credit
2025-01-24,Doctor Visit,Health,-3189,-179974,Debit
2024-03-12,FD Interest,Savings Interest,24439,-155535,Credit
2025-05-13,Zomato Order,Food,-2259,-157794,Debit
2024-10-08,Cash Deposit,Cash,-9890,-167684,Debit
2024-04-22,Doctor Visit,Health,-6774,-174458,Debit
2025-04-05,YouTube Premium,Entertainment,-9380,-183838,Debit
2024-04-25,Water Bill,Utilities,-3517,-187355,Debit
2025-02-12,Salary Credit,Income,16168,-171187,Credit
2024-01-18,Refund,Income,5768,-165419,Credit
2024-09-02,Freelance Payment,Income,25014,-140405,Credit
2025-03-07,Zomato Order,Food,-4085,-144490,Debit
2025-02-28,Medical Store,Health,-766,-145256,Debit
2024-09-23,Salary Credit,Income,5636,-139620,Credit
2024-06-08,Myntra Shopping,Shopping,-1534,-141154,Debit
2024-03-11,Uber Ride,Transport,-3457,-144611,Debit
2024-10-23,Freelance Payment,Income,12696,-131915,Credit
2025-04-02,ATM Withdrawal,Cash,-8213,-140128,Debit
2025-01-08,Interest Credit,Savings Interest,21046,-119082,Credit
2024-12-14,Freelance Payment,Income,18455,-100627,Credit
2024-07-31,Spotify,Entertainment,-1477,-102104,Debit
2024-11-25,UPI to Friend,Transfer,-2388,-104492,Debit
2024-04-10,Restaurant Bill,Food,-6963,-111455,Debit
2024-12-26,Refund,Income,26096,-85359,Credit
2024-06-20,FD Interest,Savings Interest,16449,-68910,Credit
2025-02-13,Amazon Purchase,Shopping,-5123,-74033,Debit
2024-09-30,Water Bill,Utilities,-1842,-75875,Debit
2024-10-18,Spotify,Entertainment,-4254,-80129,Debit
2024-03-09,Doctor Visit,Health,-1788,-81917,Debit
2025-04-25,Interest Credit,Savings Interest,19336,-62581,Credit
2024-05-08,Flipkart Order,Shopping,-9783,-72364,Debit
2024-08-31,Freelance Payment,Income,27368,-44996,Credit
2025-01-13,FD Interest,Savings Interest,6335,-38661,Credit
2024-11-11,Movie Tickets,Entertainment,-6964,-45625,Debit
2025-04-24,Movie Tickets,Entertainment,-6265,-51890,Debit
2024-01-24,Swiggy,Food,-3633,-55523,Debit
2025-03-10,Spotify,Entertainment,-6843,-62366,Debit
2024-04-21,Doctor Visit,Health,-2121,-64487,Debit
2025-01-03,Bonus,Income,13697,-50790,Credit
2024-01-27,Salary Credit,Income,11115,-39675,Credit
2024-11-17,Freelance Payment,Income,7990,-31685,Credit
2024-02-14,Received from Rahul,Transfer,-2827,-34512,Debit
2024-09-13,FD Interest,Savings Interest,23943,-10569,Credit
2025-03-15,UPI to Friend,Transfer,-7182,-17751,Debit
2024-09-02,Interest Credit,Savings Interest,14841,-2910,Credit
2024-10-25,Petrol,Transport,-3144,-6054,Debit
2025-04-01,FD Interest,Savings Interest,20821,14767,Credit
2024-06-04,UPI to Friend,Transfer,-562,14205,Debit
2025-03-22,Petrol,Transport,-2869,11336,Debit
2025-02-24,Zomato Order,Food,-563,10773,Debit
2024-03-29,Zomato Order,Food,-7315,3458,Debit
2025-04-10,Petrol,Transport,-4815,-1357,Debit
2025-01-28,Electronics,Shopping,-2155,-3512,Debit
2025-02-19,YouTube Premium,Entertainment,-9066,-12578,Debit
2024-01-22,Myntra Shopping,Shopping,-1758,-14336,Debit
2024-01-03,Flipkart Order,Shopping,-6525,-20861,Debit
2025-03-31,Myntra Shopping,Shopping,-3194,-24055,Debit
2024-06-07,Flipkart Order,Shopping,-255,-24310,Debit
2025-05-08,Electronics,Shopping,-9486,-33796,Debit
2024-06-04,Cash Deposit,Cash,-6558,-40354,Debit
2024-01-04,Water Bill,Utilities,-9605,-49959,Debit
2024-01-08,Myntra Shopping,Shopping,-1992,-51951,Debit
2024-03-24,Water Bill,Utilities,-6945,-58896,Debit
2025-01-24,Amazon Purchase,Shopping,-1600,-60496,Debit
2024-05-19,Cash Deposit,Cash,-604,-61100,Debit
2024-05-04,Movie Tickets,Entertainment,-2088,-63188,Debit
2025-04-22,Doctor Visit,Health,-2145,-65333,Debit
2025-04-11,Cash Deposit,Cash,-2462,-67795,Debit
2025-04-24,Cafe Coffee Day,Food,-9049,-76844,Debit
2024-11-02,Swiggy,Food,-4716,-81560,Debit
2024-12-10,Medical Store,Health,-9567,-91127,Debit
2024-07-16,Flipkart Order,Shopping,-5827,-96954,Debit
2024-12-06,Amazon Purchase,Shopping,-2598,-99552,Debit
2024-10-26,Restaurant Bill,Food,-7349,-106901,Debit
2024-09-22,Swiggy,Food,-2042,-108943,Debit
2024-12-04,Train Ticket,Transport,-4314,-113257,Debit
2024-10-08,ATM Withdrawal,Cash,-7616,-120873,Debit
2024-11-13,Cafe Coffee Day,Food,-8154,-129027,Debit
2024-02-03,ATM Withdrawal,Cash,-8803,-137830,Debit
2025-03-10,Myntra Shopping,Shopping,-7632,-145462,Debit
2024-01-31,Movie Tickets,Entertainment,-3197,-148659,Debit
2025-02-23,Amazon Purchase,Shopping,-1983,-150642,Debit
2024-01-25,Interest Credit,Savings Interest,14733,-135909,Credit
2024-09-02,Cash Deposit,Cash,-7159,-143068,Debit
2024-07-18,Flipkart Order,Shopping,-2416,-145484,Debit
2024-04-21,Electricity Bill,Utilities,-3589,-149073,Debit
2024-02-20,Flipkart Order,Shopping,-3372,-152445,Debit
2024-02-13,Bank Transfer,Transfer,-6014,-158459,Debit
2024-04-05,Train Ticket,Transport,-6180,-164639,Debit
2024-12-09,Salary Credit,Income,5914,-158725,Credit
2025-04-27,Salary Credit,Income,14779,-143946,Credit
2024-05-16,Cafe Coffee Day,Food,-7685,-151631,Debit
2024-07-18,Doctor Visit,Health,-9993,-161624,Debit
2024-07-14,Electronics,Shopping,-6600,-168224,Debit
2025-02-07,Myntra Shopping,Shopping,-8172,-176396,Debit
2024-04-13,Doctor Visit,Health,-7783,-184179,Debit
2025-03-19,YouTube Premium,Entertainment,-3765,-187944,Debit
2024-05-15,Uber Ride,Transport,-1706,-189650,Debit
2025-02-22,Electricity Bill,Utilities,-6214,-195864,Debit
2024-02-20,FD Interest,Savings Interest,19539,-176325,Credit
2024-01-24,FD Interest,Savings Interest,22188,-154137,Credit
2024-12-26,Medical Store,Health,-9873,-164010,Debit
2025-01-26,Water Bill,Utilities,-2589,-166599,Debit
2024-01-21,Cash Deposit,Cash,-805,-167404,Debit
2024-07-08,Electronics,Shopping,-7445,-174849,Debit
2024-07-23,Flipkart Order,Shopping,-7461,-182310,Debit
2024-10-09,Salary Credit,Income,9622,-172688,Credit
2024-07-20,ATM Withdrawal,Cash,-8627,-181315,Debit
2024-10-30,Internet Recharge,Utilities,-3657,-184972,Debit
2024-09-13,ATM Withdrawal,Cash,-5203,-190175,Debit
2024-10-23,Spotify,Entertainment,-9472,-199647,Debit
2025-03-03,Electronics,Shopping,-7999,-207646,Debit
2024-09-03,Bank Transfer,Transfer,-6761,-214407,Debit
2025-01-24,UPI to Friend,Transfer,-9758,-224165,Debit
2024-07-23,FD Interest,Savings Interest,22802,-201363,Credit
2025-03-07,UPI to Friend,Transfer,-5604,-206967,Debit
2024-04-27,Water Bill,Utilities,-9268,-216235,Debit
2024-09-27,Received from Rahul,Transfer,-5219,-221454,Debit
2024-01-27,Medical Store,Health,-9796,-231250,Debit
2024-04-11,Medical Store,Health,-3182,-234432,Debit
2025-01-02,Amazon Purchase,Shopping,-5843,-240275,Debit
2025-04-17,UPI to Friend,Transfer,-9446,-249721,Debit
2024-08-26,Freelance Payment,Income,4071,-245650,Credit
2024-12-22,FD Interest,Savings Interest,22133,-223517,Credit
2024-01-26,UPI to Friend,Transfer,-5365,-228882,Debit
2024-10-08,Freelance Payment,Income,14478,-214404,Credit
2024-09-03,Water Bill,Utilities,-9115,-223519,Debit
2025-02-23,Movie Tickets,Entertainment,-4505,-228024,Debit
2024-08-20,Electricity Bill,Utilities,-4344,-232368,Debit
2024-07-30,Spotify,Entertainment,-1410,-233778,Debit
2025-01-27,Amazon Purchase,Shopping,-4814,-238592,Debit
2024-02-18,Medical Store,Health,-2615,-241207,Debit
2025-04-02,Medical Store,Health,-6680,-247887,Debit
2024-04-22,Freelance Payment,Income,10205,-237682,Credit
2024-09-08,Medical Store,Health,-9745,-247427,Debit
2024-02-17,Spotify,Entertainment,-3972,-251399,Debit
2025-02-26,FD Interest,Savings Interest,10456,-240943,Credit
2024-03-24,Uber Ride,Transport,-9034,-249977,Debit
2025-04-27,Spotify,Entertainment,-6272,-256249,Debit
2024-08-19,Received from Rahul,Transfer,-4744,-260993,Debit
2025-01-25,Freelance Payment,Income,27111,-233882,Credit
2024-11-09,Bank Transfer,Transfer,-8089,-241971,Debit
2024-04-24,Bonus,Income,11618,-230353,Credit
2025-01-23,Restaurant Bill,Food,-7274,-237627,Debit
2025-01-22,Internet Recharge,Utilities,-4674,-242301,Debit
2025-04-09,Salary Credit,Income,3456,-238845,Credit
2024-11-04,FD Interest,Savings Interest,22919,-215926,Credit
2024-02-24,ATM Withdrawal,Cash,-1043,-216969,Debit
2024-03-20,FD Interest,Savings Interest,7077,-209892,Credit
2024-12-03,Received from Rahul,Transfer,-4348,-214240,Debit
2024-09-12,Restaurant Bill,Food,-9893,-224133,Debit
2024-02-15,YouTube Premium,Entertainment,-8908,-233041,Debit
2024-07-02,Freelance Payment,Income,23496,-209545,Credit
2024-02-27,Received from Rahul,Transfer,-3482,-213027,Debit
2024-02-29,Swiggy,Food,-3250,-216277,Debit
2025-04-24,Received from Rahul,Transfer,-9509,-225786,Debit
2024-07-24,Internet Recharge,Utilities,-5147,-230933,Debit
2024-01-16,UPI to Friend,Transfer,-3860,-234793,Debit
2024-01-05,Uber Ride,Transport,-2985,-237778,Debit
2024-02-12,Flipkart Order,Shopping,-7381,-245159,Debit
2024-02-13,Cafe Coffee Day,Food,-5960,-251119,Debit
2024-04-15,UPI to Friend,Transfer,-4339,-255458,Debit
2024-07-28,Petrol,Transport,-5133,-260591,Debit
2024-12-26,Doctor Visit,Health,-2077,-262668,Debit
2025-02-09,Zomato Order,Food,-6909,-269577,Debit
2024-05-11,Cash Deposit,Cash,-8471,-278048,Debit
2024-04-06,Refund,Income,20108,-257940,Credit
2024-09-08,YouTube Premium,Entertainment,-6485,-264425,Debit
2024-12-28,Cash Deposit,Cash,-9668,-274093,Debit
2024-08-06,Myntra Shopping,Shopping,-5734,-279827,Debit
2024-08-04,Cash Deposit,Cash,-8751,-288578,Debit
2024-01-19,Received from Rahul,Transfer,-1299,-289877,Debit
2024-02-14,ATM Withdrawal,Cash,-9829,-299706,Debit
2024-03-24,Received from Rahul,Transfer,-4844,-304550,Debit
2025-02-26,ATM Withdrawal,Cash,-3974,-308524,Debit
2024-05-20,Refund,Income,29982,-278542,Credit
2024-05-13,Uber Ride,Transport,-228,-278770,Debit
2025-01-06,Refund,Income,9521,-269249,Credit
2024-01-09,Swiggy,Food,-3766,-273015,Debit
2024-04-04,Spotify,Entertainment,-3919,-276934,Debit
2025-05-08,Spotify,Entertainment,-6954,-283888,Debit
2024-01-25,Petrol,Transport,-8191,-292079,Debit
2024-08-21,FD Interest,Savings Interest,22766,-269313,Credit
2024-07-04,Doctor Visit,Health,-1582,-270895,Debit
2025-03-13,Doctor Visit,Health,-4626,-275521,Debit
2025-01-02,Doctor Visit,Health,-6440,-281961,Debit
